date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020-03-12,"",UR,"",2,"","","","","",""
2020-03-18,"",UR,85,5,"","","","","",https://www.ur.ch/mmdirektionen/63802
2020-03-19,"",UR,"",7,"","","","","",https://www.ur.ch/mmdirektionen/63841
2020-03-20,12:00,UR,"",7,"","","","","",https://www.ur.ch/themen/2920
2020-03-21,08:00,UR,"",12,"","","","","",https://www.ur.ch/themen/2920
2020-03-23,"",UR,"",22,1,"","",1,"",https://www.ur.ch/themen/2920
"<<<<<<< HEAD",,,,,,,,,,
"<<<<<<< HEAD",,,,,,,,,,
2020-03-24,"",UR,"",22,"","","","","",https://www.ur.ch/themen/2920
=======,,,,,,,,,,
">>>>>>> 84f6feb3c9fa5404825b7d1a88cf8e27a2abae6e",,,,,,,,,,
=======,,,,,,,,,,
2020-03-24,12:00,UR,"",25,1,"","",1,"",https://www.ur.ch/themen/2920
<<<<<<< HEAD
<<<<<<< HEAD
">>>>>>> 595610a504aa51ccc8e5ae8eb87b21c83381c131",,,,,,,,,,
=======
2020-03-26,,UR,"",38,4,"","",1,"",https://www.ur.ch/themen/2920
>>>>>>> b8e44f5a49ec1046073a6ee843403548b0bdb425
=======
2020-03-26,"",UR,"",38,4,"","",2,"",https://www.ur.ch/themen/2920
>>>>>>> f5bfee1649ff67fb8d58eb2e77dfece36ec9745f
